x-axis,1,2
second,Volt,Volt
-5.0000E+00,+9.4E-03,+8.7E-03
-4.9900E+00,-3.1E-03,+4.4E-03
-4.9800E+00,-31.3E-03,+6.2E-03
-4.9700E+00,-40.6E-03,+600E-06
-4.9600E+00,-56.3E-03,+11.9E-03
-4.9500E+00,-68.8E-03,+12.5E-03
-4.9400E+00,-87.5E-03,+8.1E-03
-4.9300E+00,-103.1E-03,+7.5E-03
-4.9200E+00,-115.6E-03,+4.4E-03
-4.9100E+00,-131.3E-03,+600E-06
-4.9000E+00,-143.8E-03,+20.0E-03
-4.8900E+00,-156.3E-03,+17.5E-03
-4.8800E+00,-171.9E-03,+5.0E-03
-4.8700E+00,-181.3E-03,-1.9E-03
-4.8600E+00,-193.8E-03,+1.2E-03
-4.8500E+00,-196.9E-03,+4.4E-03
-4.8400E+00,-218.8E-03,-2.5E-03
-4.8300E+00,-221.9E-03,+2.5E-03
-4.8200E+00,-231.3E-03,+2.5E-03
-4.8100E+00,-243.8E-03,+600E-06
-4.8000E+00,-240.6E-03,+4.4E-03
-4.7900E+00,-246.9E-03,+3.1E-03
-4.7800E+00,-250.0E-03,+0.0E+00
-4.7700E+00,-250.0E-03,+1.9E-03
-4.7600E+00,-256.3E-03,+0.0E+00
-4.7500E+00,-253.1E-03,+3.1E-03
-4.7400E+00,-262.5E-03,+2.5E-03
-4.7300E+00,-256.3E-03,-600E-06
-4.7200E+00,-259.4E-03,-4.4E-03
-4.7100E+00,-259.4E-03,-0.0E+00
-4.7000E+00,-246.9E-03,+3.1E-03
-4.6900E+00,-243.8E-03,+600E-06
-4.6800E+00,-240.6E-03,-2.5E-03
-4.6700E+00,-231.3E-03,-0.0E+00
-4.6600E+00,-225.0E-03,-600E-06
-4.6500E+00,-212.5E-03,-8.7E-03
-4.6400E+00,-206.3E-03,-3.7E-03
-4.6300E+00,-187.5E-03,-4.4E-03
-4.6200E+00,-187.5E-03,-4.4E-03
-4.6100E+00,-168.8E-03,+600E-06
-4.6000E+00,-153.1E-03,-8.1E-03
-4.5900E+00,-146.9E-03,-11.2E-03
-4.5800E+00,-128.1E-03,-14.4E-03
-4.5700E+00,-115.6E-03,-6.9E-03
-4.5600E+00,-100.0E-03,-4.4E-03
-4.5500E+00,-81.3E-03,-7.5E-03
-4.5400E+00,-68.8E-03,-4.4E-03
-4.5300E+00,-53.1E-03,-13.1E-03
-4.5200E+00,-34.4E-03,-5.6E-03
-4.5100E+00,-25.0E-03,-6.9E-03
-4.5000E+00,-6.3E-03,-10.0E-03
